"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","100uF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"C2","1","0.01uF","","","","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~"
"C3","1","0.33uF","","","","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","~"
"C4","1","0.1uF","","","","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","~"
"D1","1","LED","","","","LED_THT:LED_D5.0mm","~"
"J1","1","Screw_Terminal_01x02","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~"
"R1","1","1kΩ","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R2","1","330Ω","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"RV1","1","10kΩ","","","","Potentiometer_THT:Potentiometer_Piher_T-16H_Single_Horizontal","~"
"U1","1","NE555P","","","","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/ne555.pdf"
"U2","1","LM7805_TO220","","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF"
